index,label,clean_pred,adv_pred,clean_path,adv_path,delta_path
0,3,725,725,outputs/cifar10_resnet18_pgd/clean/000000.png,outputs/cifar10_resnet18_pgd/adv/000000.png,
1,8,938,857,outputs/cifar10_resnet18_pgd/clean/000001.png,outputs/cifar10_resnet18_pgd/adv/000001.png,
2,8,857,857,outputs/cifar10_resnet18_pgd/clean/000002.png,outputs/cifar10_resnet18_pgd/adv/000002.png,
3,0,725,381,outputs/cifar10_resnet18_pgd/clean/000003.png,outputs/cifar10_resnet18_pgd/adv/000003.png,
4,6,381,381,outputs/cifar10_resnet18_pgd/clean/000004.png,outputs/cifar10_resnet18_pgd/adv/000004.png,
5,6,725,725,outputs/cifar10_resnet18_pgd/clean/000005.png,outputs/cifar10_resnet18_pgd/adv/000005.png,
6,1,725,725,outputs/cifar10_resnet18_pgd/clean/000006.png,outputs/cifar10_resnet18_pgd/adv/000006.png,
7,6,725,725,outputs/cifar10_resnet18_pgd/clean/000007.png,outputs/cifar10_resnet18_pgd/adv/000007.png,
8,3,382,382,outputs/cifar10_resnet18_pgd/clean/000008.png,outputs/cifar10_resnet18_pgd/adv/000008.png,
9,1,780,76,outputs/cifar10_resnet18_pgd/clean/000009.png,outputs/cifar10_resnet18_pgd/adv/000009.png,
10,0,780,381,outputs/cifar10_resnet18_pgd/clean/000010.png,outputs/cifar10_resnet18_pgd/adv/000010.png,
11,9,857,223,outputs/cifar10_resnet18_pgd/clean/000011.png,outputs/cifar10_resnet18_pgd/adv/000011.png,
12,5,725,725,outputs/cifar10_resnet18_pgd/clean/000012.png,outputs/cifar10_resnet18_pgd/adv/000012.png,
13,7,725,725,outputs/cifar10_resnet18_pgd/clean/000013.png,outputs/cifar10_resnet18_pgd/adv/000013.png,
14,9,725,780,outputs/cifar10_resnet18_pgd/clean/000014.png,outputs/cifar10_resnet18_pgd/adv/000014.png,
15,8,725,725,outputs/cifar10_resnet18_pgd/clean/000015.png,outputs/cifar10_resnet18_pgd/adv/000015.png,
16,5,381,725,outputs/cifar10_resnet18_pgd/clean/000016.png,outputs/cifar10_resnet18_pgd/adv/000016.png,
17,7,857,938,outputs/cifar10_resnet18_pgd/clean/000017.png,outputs/cifar10_resnet18_pgd/adv/000017.png,
18,8,51,857,outputs/cifar10_resnet18_pgd/clean/000018.png,outputs/cifar10_resnet18_pgd/adv/000018.png,
19,6,381,381,outputs/cifar10_resnet18_pgd/clean/000019.png,outputs/cifar10_resnet18_pgd/adv/000019.png,
20,7,725,725,outputs/cifar10_resnet18_pgd/clean/000020.png,outputs/cifar10_resnet18_pgd/adv/000020.png,
21,0,556,556,outputs/cifar10_resnet18_pgd/clean/000021.png,outputs/cifar10_resnet18_pgd/adv/000021.png,
22,4,725,382,outputs/cifar10_resnet18_pgd/clean/000022.png,outputs/cifar10_resnet18_pgd/adv/000022.png,
23,9,725,381,outputs/cifar10_resnet18_pgd/clean/000023.png,outputs/cifar10_resnet18_pgd/adv/000023.png,
24,5,725,857,outputs/cifar10_resnet18_pgd/clean/000024.png,outputs/cifar10_resnet18_pgd/adv/000024.png,
25,2,725,725,outputs/cifar10_resnet18_pgd/clean/000025.png,outputs/cifar10_resnet18_pgd/adv/000025.png,
26,4,725,381,outputs/cifar10_resnet18_pgd/clean/000026.png,outputs/cifar10_resnet18_pgd/adv/000026.png,
27,0,51,382,outputs/cifar10_resnet18_pgd/clean/000027.png,outputs/cifar10_resnet18_pgd/adv/000027.png,
28,9,725,857,outputs/cifar10_resnet18_pgd/clean/000028.png,outputs/cifar10_resnet18_pgd/adv/000028.png,
29,6,381,381,outputs/cifar10_resnet18_pgd/clean/000029.png,outputs/cifar10_resnet18_pgd/adv/000029.png,
30,6,382,382,outputs/cifar10_resnet18_pgd/clean/000030.png,outputs/cifar10_resnet18_pgd/adv/000030.png,
31,5,725,780,outputs/cifar10_resnet18_pgd/clean/000031.png,outputs/cifar10_resnet18_pgd/adv/000031.png,
32,4,725,76,outputs/cifar10_resnet18_pgd/clean/000032.png,outputs/cifar10_resnet18_pgd/adv/000032.png,
33,5,725,725,outputs/cifar10_resnet18_pgd/clean/000033.png,outputs/cifar10_resnet18_pgd/adv/000033.png,
34,9,725,223,outputs/cifar10_resnet18_pgd/clean/000034.png,outputs/cifar10_resnet18_pgd/adv/000034.png,
35,2,725,780,outputs/cifar10_resnet18_pgd/clean/000035.png,outputs/cifar10_resnet18_pgd/adv/000035.png,
36,4,725,780,outputs/cifar10_resnet18_pgd/clean/000036.png,outputs/cifar10_resnet18_pgd/adv/000036.png,
37,1,857,857,outputs/cifar10_resnet18_pgd/clean/000037.png,outputs/cifar10_resnet18_pgd/adv/000037.png,
38,9,725,780,outputs/cifar10_resnet18_pgd/clean/000038.png,outputs/cifar10_resnet18_pgd/adv/000038.png,
39,5,857,857,outputs/cifar10_resnet18_pgd/clean/000039.png,outputs/cifar10_resnet18_pgd/adv/000039.png,
40,4,725,857,outputs/cifar10_resnet18_pgd/clean/000040.png,outputs/cifar10_resnet18_pgd/adv/000040.png,
41,6,725,381,outputs/cifar10_resnet18_pgd/clean/000041.png,outputs/cifar10_resnet18_pgd/adv/000041.png,
42,5,780,780,outputs/cifar10_resnet18_pgd/clean/000042.png,outputs/cifar10_resnet18_pgd/adv/000042.png,
43,6,381,381,outputs/cifar10_resnet18_pgd/clean/000043.png,outputs/cifar10_resnet18_pgd/adv/000043.png,
44,0,223,381,outputs/cifar10_resnet18_pgd/clean/000044.png,outputs/cifar10_resnet18_pgd/adv/000044.png,
45,9,857,223,outputs/cifar10_resnet18_pgd/clean/000045.png,outputs/cifar10_resnet18_pgd/adv/000045.png,
46,3,381,381,outputs/cifar10_resnet18_pgd/clean/000046.png,outputs/cifar10_resnet18_pgd/adv/000046.png,
47,9,382,497,outputs/cifar10_resnet18_pgd/clean/000047.png,outputs/cifar10_resnet18_pgd/adv/000047.png,
48,7,381,725,outputs/cifar10_resnet18_pgd/clean/000048.png,outputs/cifar10_resnet18_pgd/adv/000048.png,
49,6,725,725,outputs/cifar10_resnet18_pgd/clean/000049.png,outputs/cifar10_resnet18_pgd/adv/000049.png,
50,9,725,295,outputs/cifar10_resnet18_pgd/clean/000050.png,outputs/cifar10_resnet18_pgd/adv/000050.png,
51,8,725,725,outputs/cifar10_resnet18_pgd/clean/000051.png,outputs/cifar10_resnet18_pgd/adv/000051.png,
52,0,381,381,outputs/cifar10_resnet18_pgd/clean/000052.png,outputs/cifar10_resnet18_pgd/adv/000052.png,
53,3,382,382,outputs/cifar10_resnet18_pgd/clean/000053.png,outputs/cifar10_resnet18_pgd/adv/000053.png,
54,8,938,857,outputs/cifar10_resnet18_pgd/clean/000054.png,outputs/cifar10_resnet18_pgd/adv/000054.png,
55,8,725,857,outputs/cifar10_resnet18_pgd/clean/000055.png,outputs/cifar10_resnet18_pgd/adv/000055.png,
56,7,725,725,outputs/cifar10_resnet18_pgd/clean/000056.png,outputs/cifar10_resnet18_pgd/adv/000056.png,
57,7,725,725,outputs/cifar10_resnet18_pgd/clean/000057.png,outputs/cifar10_resnet18_pgd/adv/000057.png,
58,4,780,381,outputs/cifar10_resnet18_pgd/clean/000058.png,outputs/cifar10_resnet18_pgd/adv/000058.png,
59,6,79,381,outputs/cifar10_resnet18_pgd/clean/000059.png,outputs/cifar10_resnet18_pgd/adv/000059.png,
60,7,725,725,outputs/cifar10_resnet18_pgd/clean/000060.png,outputs/cifar10_resnet18_pgd/adv/000060.png,
61,3,381,381,outputs/cifar10_resnet18_pgd/clean/000061.png,outputs/cifar10_resnet18_pgd/adv/000061.png,
62,6,725,725,outputs/cifar10_resnet18_pgd/clean/000062.png,outputs/cifar10_resnet18_pgd/adv/000062.png,
63,3,725,725,outputs/cifar10_resnet18_pgd/clean/000063.png,outputs/cifar10_resnet18_pgd/adv/000063.png,
64,6,725,725,outputs/cifar10_resnet18_pgd/clean/000064.png,outputs/cifar10_resnet18_pgd/adv/000064.png,
65,2,725,780,outputs/cifar10_resnet18_pgd/clean/000065.png,outputs/cifar10_resnet18_pgd/adv/000065.png,
66,1,725,725,outputs/cifar10_resnet18_pgd/clean/000066.png,outputs/cifar10_resnet18_pgd/adv/000066.png,
67,2,381,994,outputs/cifar10_resnet18_pgd/clean/000067.png,outputs/cifar10_resnet18_pgd/adv/000067.png,
68,3,725,725,outputs/cifar10_resnet18_pgd/clean/000068.png,outputs/cifar10_resnet18_pgd/adv/000068.png,
69,7,725,725,outputs/cifar10_resnet18_pgd/clean/000069.png,outputs/cifar10_resnet18_pgd/adv/000069.png,
70,2,223,780,outputs/cifar10_resnet18_pgd/clean/000070.png,outputs/cifar10_resnet18_pgd/adv/000070.png,
71,6,381,381,outputs/cifar10_resnet18_pgd/clean/000071.png,outputs/cifar10_resnet18_pgd/adv/000071.png,
72,8,780,857,outputs/cifar10_resnet18_pgd/clean/000072.png,outputs/cifar10_resnet18_pgd/adv/000072.png,
73,8,857,857,outputs/cifar10_resnet18_pgd/clean/000073.png,outputs/cifar10_resnet18_pgd/adv/000073.png,
74,0,725,381,outputs/cifar10_resnet18_pgd/clean/000074.png,outputs/cifar10_resnet18_pgd/adv/000074.png,
75,2,381,857,outputs/cifar10_resnet18_pgd/clean/000075.png,outputs/cifar10_resnet18_pgd/adv/000075.png,
76,9,780,780,outputs/cifar10_resnet18_pgd/clean/000076.png,outputs/cifar10_resnet18_pgd/adv/000076.png,
77,3,382,725,outputs/cifar10_resnet18_pgd/clean/000077.png,outputs/cifar10_resnet18_pgd/adv/000077.png,
78,3,382,382,outputs/cifar10_resnet18_pgd/clean/000078.png,outputs/cifar10_resnet18_pgd/adv/000078.png,
79,8,780,780,outputs/cifar10_resnet18_pgd/clean/000079.png,outputs/cifar10_resnet18_pgd/adv/000079.png,
80,8,51,857,outputs/cifar10_resnet18_pgd/clean/000080.png,outputs/cifar10_resnet18_pgd/adv/000080.png,
81,1,725,725,outputs/cifar10_resnet18_pgd/clean/000081.png,outputs/cifar10_resnet18_pgd/adv/000081.png,
82,1,725,725,outputs/cifar10_resnet18_pgd/clean/000082.png,outputs/cifar10_resnet18_pgd/adv/000082.png,
83,7,780,780,outputs/cifar10_resnet18_pgd/clean/000083.png,outputs/cifar10_resnet18_pgd/adv/000083.png,
84,2,857,780,outputs/cifar10_resnet18_pgd/clean/000084.png,outputs/cifar10_resnet18_pgd/adv/000084.png,
85,5,725,725,outputs/cifar10_resnet18_pgd/clean/000085.png,outputs/cifar10_resnet18_pgd/adv/000085.png,
86,2,857,780,outputs/cifar10_resnet18_pgd/clean/000086.png,outputs/cifar10_resnet18_pgd/adv/000086.png,
87,7,51,381,outputs/cifar10_resnet18_pgd/clean/000087.png,outputs/cifar10_resnet18_pgd/adv/000087.png,
88,8,51,857,outputs/cifar10_resnet18_pgd/clean/000088.png,outputs/cifar10_resnet18_pgd/adv/000088.png,
89,9,725,381,outputs/cifar10_resnet18_pgd/clean/000089.png,outputs/cifar10_resnet18_pgd/adv/000089.png,
90,0,130,381,outputs/cifar10_resnet18_pgd/clean/000090.png,outputs/cifar10_resnet18_pgd/adv/000090.png,
